Timestamp,Day,Total,Westbound,Eastbound
2015-06-24 00:00:00,Wednesday,13,9,4
2015-06-24 01:00:00,Wednesday,3,3,0
2015-06-24 02:00:00,Wednesday,1,1,0
2015-06-24 03:00:00,Wednesday,1,1,0
2015-06-24 04:00:00,Wednesday,1,1,0
2015-06-24 05:00:00,Wednesday,7,3,4
2015-06-24 06:00:00,Wednesday,36,6,30
2015-06-24 07:00:00,Wednesday,141,13,128
2015-06-24 08:00:00,Wednesday,327,44,283
2015-06-24 09:00:00,Wednesday,184,32,152
2015-06-24 10:00:00,Wednesday,94,30,64
2015-06-24 11:00:00,Wednesday,67,24,43
2015-06-24 12:00:00,Wednesday,66,32,34
2015-06-24 13:00:00,Wednesday,67,32,35
2015-06-24 14:00:00,Wednesday,47,31,16
2015-06-24 15:00:00,Wednesday,70,49,21
2015-06-24 16:00:00,Wednesday,110,80,30
2015-06-24 17:00:00,Wednesday,307,250,57
2015-06-24 18:00:00,Wednesday,257,222,35
2015-06-24 19:00:00,Wednesday,146,120,26
2015-06-24 20:00:00,Wednesday,77,64,13
2015-06-24 21:00:00,Wednesday,59,45,14
2015-06-24 22:00:00,Wednesday,34,26,8
2015-06-24 23:00:00,Wednesday,26,23,3
2015-06-25 00:00:00,Thursday,17,13,4
2015-06-25 01:00:00,Thursday,5,4,1
2015-06-25 02:00:00,Thursday,2,2,0
2015-06-25 03:00:00,Thursday,3,3,0
2015-06-25 04:00:00,Thursday,3,1,2
2015-06-25 05:00:00,Thursday,8,1,7
2015-06-25 06:00:00,Thursday,46,7,39
2015-06-25 07:00:00,Thursday,154,22,132
2015-06-25 08:00:00,Thursday,286,46,240
2015-06-25 09:00:00,Thursday,202,44,158
2015-06-25 10:00:00,Thursday,79,23,56
2015-06-25 11:00:00,Thursday,65,23,42
2015-06-25 12:00:00,Thursday,62,34,28
2015-06-25 13:00:00,Thursday,53,32,21
2015-06-25 14:00:00,Thursday,59,30,29
2015-06-25 15:00:00,Thursday,64,41,23
2015-06-25 16:00:00,Thursday,138,100,38
2015-06-25 17:00:00,Thursday,270,228,42
2015-06-25 18:00:00,Thursday,224,175,49
2015-06-25 19:00:00,Thursday,146,114,32
2015-06-25 20:00:00,Thursday,81,64,17
2015-06-25 21:00:00,Thursday,63,53,10
2015-06-25 22:00:00,Thursday,45,40,5
2015-06-25 23:00:00,Thursday,31,23,8
2015-06-26 00:00:00,Friday,15,10,5
2015-06-26 01:00:00,Friday,7,6,1
2015-06-26 02:00:00,Friday,1,1,0
2015-06-26 03:00:00,Friday,2,2,0
2015-06-26 04:00:00,Friday,0,0,0
2015-06-26 05:00:00,Friday,7,2,5
2015-06-26 06:00:00,Friday,30,7,23
2015-06-26 07:00:00,Friday,104,17,87
2015-06-26 08:00:00,Friday,244,41,203
2015-06-26 09:00:00,Friday,152,39,113
2015-06-26 10:00:00,Friday,64,16,48
2015-06-26 11:00:00,Friday,65,32,33
2015-06-26 12:00:00,Friday,53,31,22
2015-06-26 13:00:00,Friday,52,25,27
2015-06-26 14:00:00,Friday,73,49,24
2015-06-26 15:00:00,Friday,71,44,27
2015-06-26 16:00:00,Friday,117,99,18
2015-06-26 17:00:00,Friday,206,168,38
2015-06-26 18:00:00,Friday,178,138,40
2015-06-26 19:00:00,Friday,111,85,26
2015-06-26 20:00:00,Friday,90,78,12
2015-06-26 21:00:00,Friday,46,37,9
2015-06-26 22:00:00,Friday,30,20,10
2015-06-26 23:00:00,Friday,30,23,7
2015-06-27 00:00:00,Saturday,15,10,5
2015-06-27 01:00:00,Saturday,7,7,0
2015-06-27 02:00:00,Saturday,4,3,1
2015-06-27 03:00:00,Saturday,0,0,0
2015-06-27 04:00:00,Saturday,2,1,1
2015-06-27 05:00:00,Saturday,5,0,5
2015-06-27 06:00:00,Saturday,14,1,13
2015-06-27 07:00:00,Saturday,17,6,11
2015-06-27 08:00:00,Saturday,22,5,17
2015-06-27 09:00:00,Saturday,28,8,20
2015-06-27 10:00:00,Saturday,43,14,29
2015-06-27 11:00:00,Saturday,45,24,21
2015-06-27 12:00:00,Saturday,49,20,29
2015-06-27 13:00:00,Saturday,59,22,37
2015-06-27 14:00:00,Saturday,62,23,39
2015-06-27 15:00:00,Saturday,67,36,31
2015-06-27 16:00:00,Saturday,58,32,26
2015-06-27 17:00:00,Saturday,49,32,17
2015-06-27 18:00:00,Saturday,34,27,7
2015-06-27 19:00:00,Saturday,46,27,19
2015-06-27 20:00:00,Saturday,16,9,7
2015-06-27 21:00:00,Saturday,16,14,2
2015-06-27 22:00:00,Saturday,18,13,5
2015-06-27 23:00:00,Saturday,19,12,7
2015-06-28 00:00:00,Sunday,0,0,0
2015-06-28 01:00:00,Sunday,1,1,0
2015-06-28 02:00:00,Sunday,0,0,0
2015-06-28 03:00:00,Sunday,3,3,0
2015-06-28 04:00:00,Sunday,0,0,0
2015-06-28 05:00:00,Sunday,0,0,0
2015-06-28 06:00:00,Sunday,1,0,1
2015-06-28 07:00:00,Sunday,0,0,0
2015-06-28 08:00:00,Sunday,2,0,2
2015-06-28 09:00:00,Sunday,2,1,1
2015-06-28 10:00:00,Sunday,5,1,4
2015-06-28 11:00:00,Sunday,2,0,2
2015-06-28 12:00:00,Sunday,9,4,5
2015-06-28 13:00:00,Sunday,8,1,7
2015-06-28 14:00:00,Sunday,7,4,3
2015-06-28 15:00:00,Sunday,17,8,9
2015-06-28 16:00:00,Sunday,14,8,6
2015-06-28 17:00:00,Sunday,17,11,6
