Time,TemperatureF,Humidity,Events
01-Jul-2015,72,78,Thunderstorm
02-Jul-2015,72,60,None
03-Jul-2015,70,56,None
04-Jul-2015,67,75,None
05-Jul-2015,72,67,None
06-Jul-2015,74,69,None
07-Jul-2015,75,77,Rain
08-Jul-2015,79,68,Rain
09-Jul-2015,66,77,Rain
10-Jul-2015,69,74,Rain
11-Jul-2015,76,49,None
12-Jul-2015,81,54,None
13-Jul-2015,72,81,None
14-Jul-2015,74,72,Rain
15-Jul-2015,75,87,Rain
16-Jul-2015,64,65,None
17-Jul-2015,68,72,None
18-Jul-2015,71,81,Rain
19-Jul-2015,81,73,Rain
20-Jul-2015,81,62,None
21-Jul-2015,76,66,None
22-Jul-2015,77,58,None
23-Jul-2015,75,52,None
24-Jul-2015,74,60,Rain
25-Jul-2015,66,81,None
26-Jul-2015,71,79,Rain
27-Jul-2015,77,74,Rain
28-Jul-2015,78,80,None
29-Jul-2015,82,66,None
30-Jul-2015,83,73,Rain
31-Jul-2015,81,61,None
01-Aug-2015,79,50,Rain
02-Aug-2015,78,52,None
03-Aug-2015,79,67,Thunderstorm
04-Aug-2015,78,68,Hail
05-Aug-2015,75,58,None
06-Aug-2015,74,51,None
07-Aug-2015,69,70,None
08-Aug-2015,69,68,None
09-Aug-2015,68,80,None
10-Aug-2015,73,67,None
11-Aug-2015,68,94,Rain
12-Aug-2015,77,70,None
13-Aug-2015,74,62,None
14-Aug-2015,75,57,None
15-Aug-2015,80,64,Thunderstorm
16-Aug-2015,79,70,None
17-Aug-2015,81,64,None
18-Aug-2015,79,76,Thunderstorm
19-Aug-2015,80,72,None
20-Aug-2015,73,88,None
21-Aug-2015,75,87,Thunderstorm
22-Aug-2015,70,90,Fog
23-Aug-2015,69,97,Rain
24-Aug-2015,72,92,None
25-Aug-2015,74,81,Fog
26-Aug-2015,77,71,Rain
27-Aug-2015,74,54,None
28-Aug-2015,70,63,None
29-Aug-2015,73,59,None
30-Aug-2015,79,58,None
31-Aug-2015,81,60,None
01-Sep-2015,74,65,None
02-Sep-2015,79,63,None
03-Sep-2015,76,73,Thunderstorm
04-Sep-2015,67,78,Rain
05-Sep-2015,66,70,None
06-Sep-2015,72,69,None
07-Sep-2015,80,55,None
08-Sep-2015,84,63,None
09-Sep-2015,83,60,None
10-Sep-2015,71,81,Rain
11-Sep-2015,68,84,Rain
12-Sep-2015,66,87,Rain
13-Sep-2015,65,94,Rain
14-Sep-2015,65,70,None
15-Sep-2015,73,52,None
16-Sep-2015,73,62,None
17-Sep-2015,77,58,None
18-Sep-2015,75,64,None
19-Sep-2015,71,74,None
20-Sep-2015,66,63,None
21-Sep-2015,60,60,None
22-Sep-2015,62,76,None
23-Sep-2015,61,68,None
24-Sep-2015,66,62,None
25-Sep-2015,61,72,None
26-Sep-2015,57,64,None
27-Sep-2015,56,75,None
28-Sep-2015,67,75,None
